X,Y,Output
0.512196,0.112623,1
0.610173,-0.38709099999999996,1
0.9279700000000001,0.24589499999999997,0
0.159933,0.111516,1
-0.451556,0.877259,0
0.7951010000000001,-0.033838,1
-0.5949399999999999,-0.9487469999999999,0
-0.176343,-0.105055,1
-0.612349,-0.44243599999999994,1
0.954304,-0.6627390000000001,0
0.256601,-0.810335,0
-0.5619029999999999,-0.782008,0
0.9440649999999999,0.544514,0
-0.6613439999999999,0.106173,1
0.502558,0.55597,1
-0.743159,0.816786,0
0.48238000000000003,0.695178,0
0.332965,-0.667682,1
-0.176878,-0.346304,1
-0.311145,-0.733664,1
-0.619483,-0.9418209999999999,0
0.8734940000000001,0.868819,0
-0.291225,0.415901,1
0.759046,-0.826849,0
0.041797,-0.11581300000000001,0
0.8495959999999999,0.694602,0
-0.580088,0.155719,1
0.136993,0.8496090000000001,0
0.5955739999999999,-0.191827,1
0.239972,0.30186599999999997,1
0.644103,0.92224,0
0.896009,0.7298060000000001,0
-0.26985,-0.668963,1
0.724511,-0.223059,1
0.5458810000000001,0.8647379999999999,0
0.144222,-0.592112,1
-0.819735,-0.152566,0
-0.163828,-0.482454,1
0.31656799999999996,-0.10032200000000001,1
0.6639010000000001,0.062583,1
0.960359,0.702334,0
0.149748,-0.172746,1
-0.566326,-0.7304649999999999,0
-0.960923,0.951478,0
-0.453114,-0.515806,1
-0.240644,0.567465,1
0.26324899999999996,-0.153725,1
0.832514,0.583515,0
0.294628,-0.015975,1
-0.385467,-0.188247,1
-0.333503,-0.219354,1
0.759346,-0.147317,1
0.7979890000000001,-0.473155,0
0.7001310000000001,-0.72345,0
0.8889809999999999,-0.344028,0
0.30953800000000004,0.613957,1
0.262372,0.987899,0
0.11871099999999998,0.170152,1
0.402941,-0.59237,1
0.9885219999999999,-0.003638,0
-0.7876850000000001,0.9237280000000001,0
0.631093,0.44127299999999997,1
0.723642,-0.808797,0
0.929054,-0.177874,0
-0.5902430000000001,0.341438,1
-0.828727,-0.534396,0
0.705178,-0.077876,1
0.806125,0.221421,0
0.661697,0.664096,0
-0.43076899999999996,0.20578200000000002,1
-0.536424,-0.067196,1
0.6381979999999999,0.370562,1
-0.319195,-0.366492,1
-0.9731049999999999,0.165906,0
0.667756,0.503596,0
0.04257,-0.31654299999999996,1
-0.677606,0.45467299999999994,0
-0.173905,-0.9312819999999999,0
0.442829,0.46549399999999996,1
-0.286426,0.38655500000000004,1
0.599168,-0.5186890000000001,1
-0.39658000000000004,-0.028117000000000003,1
0.79683,0.998675,0
0.67842,0.69592,0
0.48823,0.067378,1
-0.417496,0.316757,1
0.130355,0.31839,1
-0.92924,-0.492647,0
-0.611858,-0.306881,1
-0.018144999999999998,0.69622,1
0.044916000000000005,0.830303,0
-0.24573699999999998,-0.42092399999999996,1
-0.30064,0.570401,1
0.743401,-0.42197399999999996,0
0.848267,0.456375,0
-0.0073939999999999995,0.494172,1
-0.027346,0.334522,1
-0.486171,0.637993,0
-0.417588,0.019017,1
-0.986052,0.126674,0
0.580255,-0.728224,0
-0.308042,0.267158,1
0.018952,-0.137282,0
0.404779,0.17221,1
0.7995329999999999,-0.679083,0
0.46100399999999997,0.458525,1
0.1847,-0.299225,1
-0.267061,-0.489075,1
0.29285500000000003,-0.597989,1
0.496154,-0.575118,1
0.395509,0.26101599999999997,1
0.9240370000000001,-0.990806,0
0.6053649999999999,-0.9191540000000001,0
-0.449667,0.925456,0
-0.02519,-0.400939,1
-0.011838,0.37447199999999997,1
-0.205285,-0.912215,0
0.594833,-0.366704,1
0.665751,-0.16911400000000001,1
0.344199,0.10196000000000001,1
-0.963089,-0.5483,0
0.050983,0.838232,0
0.383765,-0.21473499999999998,1
0.05092,-0.975116,0
-0.478321,0.358898,1
-0.177743,0.5098199999999999,1
-0.8979389999999999,-0.224998,0
0.6167239999999999,0.14414000000000002,1
-0.8916129999999999,0.04257,0
-0.0994,0.7483920000000001,1
0.38706799999999997,-0.29077800000000004,1
0.046062,0.7962899999999999,1
0.44774899999999995,0.781053,0
0.141083,0.084909,0
0.193461,-0.936599,0
0.53082,-0.7869470000000001,0
-0.491096,-0.239587,1
0.699511,0.8038569999999999,0
-0.959868,-0.911507,0
0.997351,-0.062842,0
0.284048,0.267723,1
-0.657428,-0.879292,0
-0.056234000000000006,0.057364,0
0.6221810000000001,-0.43394399999999994,1
0.7575310000000001,-0.055745,1
-0.8622340000000001,0.363202,0
-0.335712,-0.025043,1
0.938841,0.055048,0
0.9856010000000001,0.8866120000000001,0
-0.745675,0.829843,0
0.736078,-0.032064999999999996,1
0.023379,-0.640463,1
-0.757746,0.9027219999999999,0
-0.221923,-0.9110010000000001,0
-0.728305,0.950714,0
0.695883,0.44279300000000005,0
0.661633,-0.9483530000000001,0
-0.705829,-0.229582,1
-0.8782840000000001,-0.22634200000000002,0
-0.276003,0.058179999999999996,1
0.158716,-0.06827000000000001,0
0.47911000000000004,-0.651625,0
-0.497065,-0.311335,1
-0.039606999999999996,-0.078601,0
-0.652825,-0.015008,1
0.365138,0.503416,1
-0.142851,0.390875,1
-0.336527,-0.884533,0
-0.48774799999999996,0.442114,1
0.528493,0.290696,1
0.567041,-0.519513,1
-0.002694,-0.9685739999999999,0
-0.016036,-0.326437,1
-0.16092599999999999,0.271023,1
-0.037677999999999996,0.491622,1
0.341856,-0.771961,0
0.967382,-0.116105,0
-0.547039,-0.7179800000000001,0
-0.9989030000000001,0.845017,0
0.483991,-0.6552640000000001,0
-0.812792,-0.06166,0
0.26035,-0.13450499999999999,1
-0.184581,0.892151,0
-0.559004,-0.709034,0
-0.653125,0.06360199999999999,1
-0.42730799999999997,0.9355950000000001,0
0.405481,-0.348171,1
0.807198,0.965016,0
0.893983,-0.344978,0
0.75205,-0.6800350000000001,0
-0.30306,0.265841,1
-0.635781,0.521148,0
0.67748,0.040865,1
-0.37533,-0.428517,1
0.5488310000000001,-0.44652,1
-0.910552,-0.33919699999999997,0
0.351007,-0.721216,0
0.6418149999999999,0.607114,0
-0.8534229999999999,0.44038999999999995,0
-0.629814,-0.951997,0
0.9284,-0.596709,0
-0.448305,0.291225,1
0.059887,-0.708845,1
0.200951,-0.040129000000000005,1
0.174983,0.732284,1
0.363605,0.13668,1
0.8903620000000001,0.3195,0
0.09654299999999999,0.404832,1
0.966533,0.52641,0
-0.22196999999999997,-0.778048,0
-0.343738,-0.16784200000000002,1
0.282351,-0.47831899999999994,1
-0.515446,0.354883,1
-0.716928,0.333219,1
-0.047069,-0.574679,1
0.337688,-0.632968,1
0.765897,0.654958,0
-0.811369,0.882977,0
-0.289099,-0.60407,1
0.43045100000000003,-0.8863700000000001,0
-0.30566,0.824926,0
0.474728,0.546454,1
-0.053078,-0.493895,1
0.220441,0.946576,0
-0.29835700000000004,0.689932,1
-0.135951,0.44301999999999997,1
-0.70824,-0.854308,0
0.061209000000000006,-0.22695900000000002,1
0.003715,-0.147895,0
-0.175991,-0.20496399999999998,1
0.0026579999999999998,0.8957510000000001,0
-0.8557790000000001,-0.102709,0
-0.5656640000000001,-0.444218,1
-0.731481,-0.360037,0
-0.8603430000000001,-0.732559,0
-0.019416,0.025056000000000002,0
0.0024530000000000003,-0.8418629999999999,0
-0.750306,-0.8552489999999999,0
-0.873973,-0.364008,0
0.9276110000000001,0.351039,0
-0.220221,-0.35280100000000003,1
-0.337503,-0.816917,0
0.377519,0.5593670000000001,1
0.955628,-0.8234229999999999,0
-0.70543,-0.042901999999999996,1
-0.8767950000000001,0.413142,0
0.95232,0.653768,0
-0.27996,-0.715863,1
-0.739889,0.428059,0
-0.8794209999999999,0.072155,0
0.480854,0.047385000000000004,1
-0.101728,-0.494809,1
-0.319626,-0.011664,1
0.963463,-0.210927,0
-0.244265,0.8105140000000001,0
0.891914,-0.6079319999999999,0
-0.8294219999999999,-0.06668099999999999,0
-0.20485100000000003,-0.151522,1
-0.568248,-0.825737,0
0.791276,-0.13100699999999998,0
-0.287879,-0.306218,1
0.6449550000000001,-0.40988900000000006,1
0.032876999999999997,-0.49481400000000003,1
-0.401469,-0.240643,1
-0.672938,-0.807193,0
0.6073350000000001,-0.9975860000000001,0
-0.21195999999999998,-0.804869,0
-0.178991,0.901006,0
0.393916,-0.052199,1
0.047813999999999995,-0.13667,0
-0.814972,0.904165,0
-0.8638879999999999,0.9515020000000001,0
-0.733735,-0.749845,0
-0.503491,0.8422729999999999,0
0.287085,-0.324984,1
0.145119,0.45543,1
0.41822600000000004,0.287777,1
-0.23216799999999999,-0.038498000000000004,1
0.9167930000000001,-0.5647,0
0.486019,-0.273808,1
-0.44310600000000006,0.461557,1
-0.6698890000000001,0.046462,1
0.134744,0.6400600000000001,1
0.264106,0.010728,1
-0.21725,0.797128,0
-0.746624,-0.7959229999999999,0
0.6854979999999999,-0.9757549999999999,0
0.873492,0.29505,0
-0.671905,-0.645115,0
-0.060493,-0.8689469999999999,0
0.963827,-0.26173,0
-0.478083,-0.168317,1
-0.270023,0.103103,1
-0.002618,-0.22669299999999998,1
-0.511999,0.12627,1
-0.294645,-0.7289760000000001,1
-0.553868,0.300703,1
0.723117,-0.46919799999999995,0
0.034499,0.6265539999999999,1
0.30873,0.12089100000000001,1
0.650292,0.34928400000000004,1
0.23353400000000002,0.9253,0
0.109482,-0.8655860000000001,0
0.773776,-0.40966099999999994,0
0.641271,0.598434,0
-0.728006,-0.944556,0
0.132937,-0.4719,1
0.907955,-0.8165359999999999,0
0.150093,0.629158,1
0.8238639999999999,-0.34273000000000003,0
0.608107,0.256444,1
0.5298930000000001,0.9914540000000001,0
0.491428,0.8532370000000001,0
-0.37659699999999996,-0.185007,1
-0.31690100000000004,-0.214835,1
-0.139594,-0.8972760000000001,0
-0.5723189999999999,-0.33587100000000003,1
-0.815099,0.42849499999999996,0
0.813,0.424372,0
-0.13671,0.6640510000000001,1
-0.5358350000000001,-0.636703,0
0.067228,-0.682138,1
0.475475,-0.47600200000000004,1
0.600771,0.644675,0
0.711148,0.15601800000000002,1
0.140593,0.76446,1
-0.44518900000000006,0.004636,1
0.9486110000000001,0.8476809999999999,0
0.693864,-0.10583900000000002,1
0.635484,0.282323,1
0.666006,0.735513,0
-0.522706,0.108227,1
0.293553,-0.878491,0
0.0025510000000000003,-0.418396,1
0.561179,-0.491596,1
0.285086,0.6040270000000001,1
0.5623560000000001,0.881179,0
-0.508718,-0.43106300000000003,1
-0.8543219999999999,0.31452800000000003,0
-0.358321,-0.752061,0
0.268434,-0.172611,1
0.765584,-0.87187,0
-0.808591,-0.653112,0
-0.06844700000000001,-0.107188,0
0.190006,0.691286,1
-0.848507,0.201874,0
0.101531,0.675541,1
0.547193,-0.608362,0
0.76389,0.062379,1
0.573259,0.891681,0
0.038477,0.8737889999999999,0
0.929689,-0.129402,0
